PassengerId,Survived,FareGroup_0-64,FareGroup_64-128,FareGroup_128-192,FareGroup_192-256,FareGroup_256-320,FareGroup_320-384,FareGroup_384-448,FareGroup_448-513,AgeGroup_0-20,AgeGroup_20-40,AgeGroup_40-60,AgeGroup_60-81,Embarked_C,Embarked_Q,Embarked_S,Pclass_1,Pclass_2,Pclass_3,SibSpGroup_0-1,SibSpGroup_1-3,SibSpGroup_3-5,SibSpGroup_5-7,SibSpGroup_7+,ParchGroup_0-1,ParchGroup_1-3,ParchGroup_3-5,ParchGroup_5+,Male,Female,NotSurvived
315,,X,,,,,,,,,,X,,,,X,,X,,,X,,,,,X,,,X,,X
613,X,X,,,,,,,,,X,,,,X,,,,X,,X,,,,X,,,,,X,
82,X,X,,,,,,,,,X,,,,,X,,,X,X,,,,,X,,,,X,,
488,,X,,,,,,,,,,X,,X,,,X,,,X,,,,,X,,,,X,,X
8,,X,,,,,,,,X,,,,,,X,,,X,,,X,,,,X,,,X,,X
234,X,X,,,,,,,,X,,,,,,X,,,X,,,X,,,,X,,,,X,
845,,X,,,,,,,,X,,,,,,X,,,X,X,,,,,X,,,,X,,X
540,X,X,,,,,,,,,X,,,X,,,X,,,X,,,,,,X,,,,X,
59,X,X,,,,,,,,X,,,,,,X,,X,,,X,,,,,X,,,,X,
209,X,X,,,,,,,,X,,,,,X,,,,X,X,,,,,X,,,,,X,
87,,X,,,,,,,,X,,,,,,X,,,X,,X,,,,,,X,,X,,X
271,,X,,,,,,,,,X,,,,,X,X,,,X,,,,,X,,,,X,,X
538,X,,X,,,,,,,,X,,,X,,,X,,,X,,,,,X,,,,,X,
416,,X,,,,,,,,,X,,,,,X,,,X,X,,,,,X,,,,,X,X
824,X,X,,,,,,,,,X,,,,,X,,,X,X,,,,,,X,,,,X,
624,,X,,,,,,,,,X,,,,,X,,,X,X,,,,,X,,,,X,,X
272,X,X,,,,,,,,,X,,,,,X,,,X,X,,,,,X,,,,X,,
36,,X,,,,,,,,,,X,,,,X,X,,,,X,,,,X,,,,X,,X
40,X,X,,,,,,,,X,,,,X,,,,,X,,X,,,,X,,,,,X,
145,,X,,,,,,,,X,,,,,,X,,X,,X,,,,,X,,,,X,,X
773,,X,,,,,,,,,,X,,,,X,,X,,X,,,,,X,,,,,X,X
563,,X,,,,,,,,,X,,,,,X,,X,,X,,,,,X,,,,X,,X
763,X,X,,,,,,,,X,,,,X,,,,,X,X,,,,,X,,,,X,,
302,X,X,,,,,,,,,X,,,,X,,,,X,,X,,,,X,,,,X,,
713,X,X,,,,,,,,,,X,,,,X,X,,,,X,,,,X,,,,X,,
846,,X,,,,,,,,,,X,,,,X,,,X,X,,,,,X,,,,X,,X
347,X,X,,,,,,,,,X,,,,,X,,X,,X,,,,,X,,,,,X,
280,X,X,,,,,,,,,X,,,,,X,,,X,,X,,,,,X,,,,X,
632,,X,,,,,,,,,,X,,,,X,,,X,X,,,,,X,,,,X,,X
730,,X,,,,,,,,,X,,,,,X,,,X,,X,,,,X,,,,,X,X
137,X,X,,,,,,,,X,,,,,,X,X,,,X,,,,,,X,,,,X,
783,,X,,,,,,,,,X,,,,,X,X,,,X,,,,,X,,,,X,,X
623,X,X,,,,,,,,X,,,,X,,,,,X,,X,,,,,X,,,X,,
572,X,X,,,,,,,,,,X,,,,X,X,,,,X,,,,X,,,,,X,
452,,X,,,,,,,,,X,,,,,X,,,X,,X,,,,X,,,,X,,X
652,X,X,,,,,,,,X,,,,,,X,,X,,X,,,,,,X,,,,X,
278,,X,,,,,,,,,X,,,,,X,,X,,X,,,,,X,,,,X,,X
777,,X,,,,,,,,,X,,,,X,,,,X,X,,,,,X,,,,X,,X
655,,X,,,,,,,,X,,,,,X,,,,X,X,,,,,X,,,,,X,X
880,X,,X,,,,,,,,,X,,X,,,X,,,X,,,,,,X,,,,X,
182,,X,,,,,,,,,X,,,X,,,,X,,X,,,,,X,,,,X,,X
249,X,X,,,,,,,,,X,,,,,X,X,,,,X,,,,,X,,,X,,
672,,X,,,,,,,,,X,,,,,X,X,,,,X,,,,X,,,,X,,X
313,,X,,,,,,,,,X,,,,,X,,X,,,X,,,,,X,,,,X,X
487,X,,X,,,,,,,,X,,,,,X,X,,,,X,,,,X,,,,,X,
692,X,X,,,,,,,,X,,,,X,,,,,X,X,,,,,,X,,,,X,
371,X,X,,,,,,,,,X,,,X,,,X,,,,X,,,,X,,,,X,,
546,,X,,,,,,,,,,,X,,,X,X,,,X,,,,,X,,,,X,,X
45,X,X,,,,,,,,X,,,,,X,,,,X,X,,,,,X,,,,,X,
701,X,,,,X,,,,,X,,,,X,,,X,,,,X,,,,X,,,,,X,
52,,X,,,,,,,,,X,,,,,X,,,X,X,,,,,X,,,,X,,X
381,X,,,,X,,,,,,,X,,X,,,X,,,X,,,,,X,,,,,X,
495,,X,,,,,,,,,X,,,,,X,,,X,X,,,,,X,,,,X,,X
524,X,X,,,,,,,,,,X,,X,,,X,,,X,,,,,,X,,,,X,
767,,X,,,,,,,,,X,,,X,,,X,,,X,,,,,X,,,,X,,X
261,,X,,,,,,,,,X,,,,X,,,,X,X,,,,,X,,,,X,,X
667,,X,,,,,,,,,X,,,,,X,,X,,X,,,,,X,,,,X,,X
72,,X,,,,,,,,X,,,,,,X,,,X,,,,X,,,X,,,,X,X
529,,X,,,,,,,,,X,,,,,X,,,X,X,,,,,X,,,,X,,X
573,X,X,,,,,,,,,X,,,,,X,X,,,X,,,,,X,,,,X,,
458,X,X,,,,,,,,,X,,,,,X,X,,,,X,,,,X,,,,,X,
594,,X,,,,,,,,,X,,,,X,,,,X,X,,,,,,X,,,,X,X
746,,,X,,,,,,,,,,X,,,X,X,,,,X,,,,,X,,,X,,X
23,X,X,,,,,,,,X,,,,,X,,,,X,X,,,,,X,,,,,X,
274,,X,,,,,,,,,X,,,X,,,X,,,X,,,,,,X,,,X,,X
516,,X,,,,,,,,,,X,,,,X,X,,,X,,,,,X,,,,X,,X
466,,X,,,,,,,,,X,,,,,X,,,X,X,,,,,X,,,,X,,X
497,X,,X,,,,,,,,,X,,X,,,X,,,,X,,,,X,,,,,X,
394,X,,X,,,,,,,,X,,,X,,,X,,,,X,,,,X,,,,,X,
329,X,X,,,,,,,,,X,,,,,X,,,X,,X,,,,,X,,,,X,
586,X,,X,,,,,,,X,,,,,,X,X,,,X,,,,,,X,,,,X,
665,X,X,,,,,,,,X,,,,,,X,,,X,,X,,,,X,,,,X,,
554,X,X,,,,,,,,,X,,,X,,,,,X,X,,,,,X,,,,X,,
266,,X,,,,,,,,,X,,,,,X,,X,,X,,,,,X,,,,X,,X
543,,X,,,,,,,,X,,,,,,X,,,X,,,X,,,,X,,,,X,X
13,,X,,,,,,,,X,,,,,,X,,,X,X,,,,,X,,,,X,,X
711,X,X,,,,,,,,,X,,,X,,,X,,,X,,,,,X,,,,,X,
685,,X,,,,,,,,,,X,,,,X,,X,,,X,,,,,X,,,X,,X
260,X,X,,,,,,,,,,X,,,,X,,X,,X,,,,,,X,,,,X,
499,,,,X,,,,,,,X,,,,,X,X,,,,X,,,,,X,,,,X,X
882,,X,,,,,,,,,X,,,,,X,,,X,X,,,,,X,,,,X,,X
74,,X,,,,,,,,,X,,,X,,,,,X,,X,,,,X,,,,X,,X
83,X,X,,,,,,,,,X,,,,X,,,,X,X,,,,,X,,,,,X,
621,,X,,,,,,,,,X,,,X,,,,,X,,X,,,,X,,,,X,,X
35,,,X,,,,,,,,X,,,X,,,X,,,,X,,,,X,,,,X,,X
422,,X,,,,,,,,,X,,,,X,,,,X,X,,,,,X,,,,X,,X
3,X,X,,,,,,,,,X,,,,,X,,,X,X,,,,,X,,,,,X,
390,X,X,,,,,,,,X,,,,X,,,,X,,X,,,,,X,,,,,X,
322,,X,,,,,,,,,X,,,,,X,,,X,X,,,,,X,,,,X,,X
727,X,X,,,,,,,,,X,,,,,X,,X,,,,X,,,X,,,,,X,
194,X,X,,,,,,,,X,,,,,,X,,X,,,X,,,,,X,,,X,,
698,X,X,,,,,,,,,X,,,,X,,,,X,X,,,,,X,,,,,X,
224,,X,,,,,,,,,X,,,,,X,,,X,X,,,,,X,,,,X,,X
870,X,X,,,,,,,,X,,,,,,X,,,X,,X,,,,,X,,,X,,
555,X,X,,,,,,,,,X,,,,,X,,,X,X,,,,,X,,,,,X,
668,,X,,,,,,,,,X,,,,,X,,,X,X,,,,,X,,,,X,,X
664,,X,,,,,,,,,X,,,,,X,,,X,X,,,,,X,,,,X,,X
70,,X,,,,,,,,,X,,,,,X,,,X,,X,,,,X,,,,X,,X
115,,X,,,,,,,,X,,,,X,,,,,X,X,,,,,X,,,,,X,X
734,,X,,,,,,,,,X,,,,,X,,X,,X,,,,,X,,,,X,,X
32,X,,,X,,,,,,,X,,,X,,,X,,,,X,,,,X,,,,,X,
469,,X,,,,,,,,,X,,,,X,,,,X,X,,,,,X,,,,X,,X
128,X,X,,,,,,,,,X,,,,,X,,,X,X,,,,,X,,,,X,,
348,X,X,,,,,,,,,X,,,,,X,,,X,,X,,,,X,,,,,X,
69,X,X,,,,,,,,X,,,,,,X,,,X,,,X,,,,X,,,,X,
564,,X,,,,,,,,,X,,,,,X,,,X,X,,,,,X,,,,X,,X
794,,X,,,,,,,,,X,,,X,,,X,,,X,,,,,X,,,,X,,X
158,,X,,,,,,,,,X,,,,,X,,,X,X,,,,,X,,,,X,,X
765,,X,,,,,,,,X,,,,,,X,,,X,X,,,,,X,,,,X,,X
142,X,X,,,,,,,,,X,,,,,X,,,X,X,,,,,X,,,,,X,
210,X,X,,,,,,,,,X,,,X,,,X,,,X,,,,,X,,,,X,,
567,,X,,,,,,,,X,,,,,,X,,,X,X,,,,,X,,,,X,,X
305,,X,,,,,,,,,X,,,,,X,,,X,X,,,,,X,,,,X,,X
584,,X,,,,,,,,,X,,,X,,,X,,,X,,,,,X,,,,X,,X
204,,X,,,,,,,,,,X,,X,,,,,X,X,,,,,X,,,,X,,X
682,X,,X,,,,,,,,X,,,X,,,X,,,X,,,,,X,,,,X,,
530,,X,,,,,,,,,X,,,,,X,,X,,,X,,,,,X,,,X,,X
299,X,X,,,,,,,,,X,,,,,X,X,,,X,,,,,X,,,,X,,
53,X,,X,,,,,,,,,X,,X,,,X,,,,X,,,,X,,,,,X,
211,,X,,,,,,,,,X,,,,,X,,,X,X,,,,,X,,,,X,,X
560,X,X,,,,,,,,,X,,,,,X,,,X,,X,,,,X,,,,,X,
116,,X,,,,,,,,,X,,,,,X,,,X,X,,,,,X,,,,X,,X
585,,X,,,,,,,,,X,,,X,,,,,X,X,,,,,X,,,,X,,X
699,,,X,,,,,,,,,X,,X,,,X,,,,X,,,,,X,,,X,,X
628,X,,X,,,,,,,,X,,,,,X,X,,,X,,,,,X,,,,,X,
244,,X,,,,,,,,,X,,,,,X,,,X,X,,,,,X,,,,X,,X
255,,X,,,,,,,,,,X,,,,X,,,X,X,,,,,,X,,,,X,X
835,,X,,,,,,,,X,,,,,,X,,,X,X,,,,,X,,,,X,,X
847,,,X,,,,,,,,X,,,,,X,,,X,,,,,X,,X,,,X,,X
609,X,X,,,,,,,,,X,,,X,,,,X,,,X,,,,,X,,,,X,
161,,X,,,,,,,,,,X,,,,X,,,X,X,,,,,,X,,,X,,X
152,X,,X,,,,,,,,X,,,,,X,X,,,,X,,,,X,,,,,X,
627,,X,,,,,,,,,,X,,,X,,,X,,X,,,,,X,,,,X,,X
513,X,X,,,,,,,,,X,,,,,X,X,,,X,,,,,X,,,,X,,
340,,X,,,,,,,,,,X,,,,X,X,,,X,,,,,X,,,,X,,X
389,,X,,,,,,,,,X,,,,X,,,,X,X,,,,,X,,,,X,,X
9,X,X,,,,,,,,,X,,,,,X,,,X,X,,,,,,X,,,,X,
830,X,,X,,,,,,,,,,X,,,X,X,,,X,,,,,X,,,,,X,
490,X,X,,,,,,,,X,,,,,,X,,,X,,X,,,,,X,,,X,,
580,X,X,,,,,,,,,X,,,,,X,,,X,X,,,,,X,,,,X,,
620,,X,,,,,,,,,X,,,,,X,,X,,X,,,,,X,,,,X,,X
200,,X,,,,,,,,,X,,,,,X,,X,,X,,,,,X,,,,,X,X
703,,X,,,,,,,,X,,,,X,,,,,X,X,,,,,,X,,,,X,X
285,,X,,,,,,,,,X,,,,,X,X,,,X,,,,,X,,,,X,,X
596,,X,,,,,,,,,X,,,,,X,,,X,,X,,,,,X,,,X,,X
435,,X,,,,,,,,,,X,,,,X,X,,,,X,,,,X,,,,X,,X
575,,X,,,,,,,,X,,,,,,X,,,X,X,,,,,X,,,,X,,X
324,X,X,,,,,,,,,X,,,,,X,,X,,,X,,,,,X,,,,X,
479,,X,,,,,,,,,X,,,,,X,,,X,X,,,,,X,,,,X,,X
57,X,X,,,,,,,,,X,,,,,X,,X,,X,,,,,X,,,,,X,
474,X,X,,,,,,,,,X,,,X,,,,X,,X,,,,,X,,,,,X,
636,X,X,,,,,,,,,X,,,,,X,,X,,X,,,,,X,,,,,X,
764,X,,X,,,,,,,,X,,,,,X,X,,,,X,,,,,X,,,,X,
253,,X,,,,,,,,,,,X,,,X,X,,,X,,,,,X,,,,X,,X
881,X,X,,,,,,,,,X,,,,,X,,X,,X,,,,,,X,,,,X,
163,,X,,,,,,,,,X,,,,,X,,,X,X,,,,,X,,,,X,,X
96,,X,,,,,,,,,X,,,,,X,,,X,X,,,,,X,,,,X,,X
712,,X,,,,,,,,,X,,,,,X,X,,,X,,,,,X,,,,X,,X
432,X,X,,,,,,,,,X,,,,,X,,,X,,X,,,,X,,,,,X,
675,,X,,,,,,,,,X,,,,,X,,X,,X,,,,,X,,,,X,,X
486,,X,,,,,,,,,X,,,,,X,,,X,,,X,,,,X,,,,X,X
686,,X,,,,,,,,,X,,,X,,,,X,,,X,,,,,X,,,X,,X
590,,X,,,,,,,,,X,,,,,X,,,X,X,,,,,X,,,,X,,X
240,,X,,,,,,,,,X,,,,,X,,X,,X,,,,,X,,,,X,,X
463,,X,,,,,,,,,,X,,,,X,X,,,X,,,,,X,,,,X,,X
164,,X,,,,,,,,X,,,,,,X,,,X,X,,,,,X,,,,X,,X
745,X,X,,,,,,,,,X,,,,,X,,,X,X,,,,,X,,,,X,,
131,,X,,,,,,,,,X,,,X,,,,,X,X,,,,,X,,,,X,,X
528,,,,,X,,,,,,X,,,,,X,X,,,X,,,,,X,,,,X,,X
349,X,X,,,,,,,,X,,,,,,X,,,X,,X,,,,,X,,,X,,
618,,X,,,,,,,,,X,,,,,X,,,X,,X,,,,X,,,,,X,X
380,,X,,,,,,,,X,,,,,,X,,,X,X,,,,,X,,,,X,,X
879,,X,,,,,,,,,X,,,,,X,,,X,X,,,,,X,,,,X,,X
799,,X,,,,,,,,,X,,,X,,,,,X,X,,,,,X,,,,X,,X
782,X,X,,,,,,,,X,,,,,,X,X,,,,X,,,,X,,,,,X,
803,X,,X,,,,,,,X,,,,,,X,X,,,,X,,,,,X,,,X,,
832,X,X,,,,,,,,X,,,,,,X,,X,,,X,,,,,X,,,X,,
343,,X,,,,,,,,,X,,,,,X,,X,,X,,,,,X,,,,X,,X
551,X,,X,,,,,,,X,,,,X,,,X,,,X,,,,,,X,,,X,,
568,,X,,,,,,,,,X,,,,,X,,,X,X,,,,,,,X,,,X,X
751,X,X,,,,,,,,X,,,,,,X,,X,,,X,,,,,X,,,,X,
603,,X,,,,,,,,,X,,,,,X,X,,,X,,,,,X,,,,X,,X
456,X,X,,,,,,,,,X,,,X,,,,,X,X,,,,,X,,,,X,,
112,,X,,,,,,,,X,,,,X,,,,,X,,X,,,,X,,,,,X,X
485,X,,X,,,,,,,,X,,,X,,,X,,,,X,,,,X,,,,X,,
265,,X,,,,,,,,,X,,,,X,,,,X,X,,,,,X,,,,,X,X
195,X,X,,,,,,,,,,X,,X,,,X,,,X,,,,,X,,,,,X,
817,,X,,,,,,,,,X,,,,,X,,,X,X,,,,,X,,,,,X,X
804,X,X,,,,,,,,X,,,,X,,,,,X,X,,,,,,X,,,X,,
670,X,X,,,,,,,,,X,,,,,X,X,,,,X,,,,X,,,,,X,
37,X,X,,,,,,,,,X,,,X,,,,,X,X,,,,,X,,,,X,,
147,X,X,,,,,,,,,X,,,,,X,,,X,X,,,,,X,,,,X,,
257,X,,X,,,,,,,,X,,,X,,,X,,,X,,,,,X,,,,,X,
135,,X,,,,,,,,,X,,,,,X,,X,,X,,,,,X,,,,X,,X
805,X,X,,,,,,,,,X,,,,,X,,,X,X,,,,,X,,,,X,,
218,,X,,,,,,,,,,X,,,,X,,X,,,X,,,,X,,,,X,,X
206,,X,,,,,,,,X,,,,,,X,,,X,X,,,,,,X,,,,X,X
552,,X,,,,,,,,,X,,,,,X,,X,,X,,,,,X,,,,X,,X
46,,X,,,,,,,,,X,,,,,X,,,X,X,,,,,X,,,,X,,X
631,X,X,,,,,,,,,,,X,,,X,X,,,X,,,,,X,,,,X,,
405,,X,,,,,,,,X,,,,,,X,,,X,X,,,,,X,,,,,X,X
683,,X,,,,,,,,X,,,,,,X,,,X,X,,,,,X,,,,X,,X
518,,X,,,,,,,,,X,,,,X,,,,X,X,,,,,X,,,,X,,X
577,X,X,,,,,,,,,X,,,,,X,,X,,X,,,,,X,,,,,X,
696,,X,,,,,,,,,,X,,,,X,,X,,X,,,,,X,,,,X,,X
717,X,,,,X,,,,,,X,,,X,,,X,,,X,,,,,X,,,,,X,
434,,X,,,,,,,,X,,,,,,X,,,X,X,,,,,X,,,,X,,X
465,,X,,,,,,,,,X,,,,,X,,,X,X,,,,,X,,,,X,,X
481,,X,,,,,,,,X,,,,,,X,,,X,,,,X,,,X,,,X,,X
170,,X,,,,,,,,,X,,,,,X,,,X,X,,,,,X,,,,X,,X
776,,X,,,,,,,,X,,,,,,X,,,X,X,,,,,X,,,,X,,X
710,X,X,,,,,,,,,X,,,X,,,,,X,,X,,,,,X,,,X,,
321,,X,,,,,,,,,X,,,,,X,,,X,X,,,,,X,,,,X,,X
124,X,X,,,,,,,,,X,,,,,X,,X,,X,,,,,X,,,,,X,
693,X,X,,,,,,,,,X,,,,,X,,,X,X,,,,,X,,,,X,,
612,,X,,,,,,,,,X,,,,,X,,,X,X,,,,,X,,,,X,,X
797,X,X,,,,,,,,,,X,,,,X,X,,,X,,,,,X,,,,,X,
226,,X,,,,,,,,,X,,,,,X,,,X,X,,,,,X,,,,X,,X
754,,X,,,,,,,,,X,,,,,X,,,X,X,,,,,X,,,,X,,X
615,,X,,,,,,,,,X,,,,,X,,,X,X,,,,,X,,,,X,,X
362,,X,,,,,,,,,X,,,X,,,,X,,,X,,,,X,,,,X,,X
427,X,X,,,,,,,,,X,,,,,X,,X,,,X,,,,X,,,,,X,
749,,X,,,,,,,,X,,,,,,X,X,,,,X,,,,X,,,,X,,X
731,X,,,,X,,,,,,X,,,,,X,X,,,X,,,,,X,,,,,X,
431,X,X,,,,,,,,,X,,,,,X,X,,,X,,,,,X,,,,X,,
30,,X,,,,,,,,,X,,,,,X,,,X,X,,,,,X,,,,X,,X
556,,X,,,,,,,,,,,X,,,X,X,,,X,,,,,X,,,,X,,X
531,X,X,,,,,,,,X,,,,,,X,,X,,,X,,,,,X,,,,X,
232,,X,,,,,,,,,X,,,,,X,,,X,X,,,,,X,,,,X,,X
229,,X,,,,,,,,X,,,,,,X,,X,,X,,,,,X,,,,X,,X
237,,X,,,,,,,,,,X,,,,X,,X,,,X,,,,X,,,,X,,X
796,,X,,,,,,,,,X,,,,,X,,X,,X,,,,,X,,,,X,,X
437,,X,,,,,,,,,X,,,,,X,,,X,,X,,,,,X,,,,X,X
778,X,X,,,,,,,,X,,,,,,X,,,X,X,,,,,X,,,,,X,
418,X,X,,,,,,,,X,,,,,,X,,X,,X,,,,,,X,,,,X,
858,X,X,,,,,,,,,,X,,,,X,X,,,X,,,,,X,,,,X,,
863,X,X,,,,,,,,,,X,,,,X,X,,,X,,,,,X,,,,,X,
451,,X,,,,,,,,,X,,,,,X,,X,,,X,,,,,X,,,X,,X
520,,X,,,,,,,,,X,,,,,X,,,X,X,,,,,X,,,,X,,X
735,,X,,,,,,,,,X,,,,,X,,X,,X,,,,,X,,,,X,,X
595,,X,,,,,,,,,X,,,,,X,,X,,,X,,,,X,,,,X,,X
732,,X,,,,,,,,X,,,,X,,,,,X,X,,,,,X,,,,X,,X
542,,X,,,,,,,,X,,,,,,X,,,X,,,X,,,,X,,,,X,X
130,,X,,,,,,,,,,X,,,,X,,,X,X,,,,,X,,,,X,,X
414,,X,,,,,,,,,X,,,,,X,,X,,X,,,,,X,,,,X,,X
849,,X,,,,,,,,,X,,,,,X,,X,,X,,,,,,X,,,X,,X
350,,X,,,,,,,,,,X,,,,X,,,X,X,,,,,X,,,,X,,X
205,X,X,,,,,,,,X,,,,,,X,,,X,X,,,,,X,,,,X,,
762,,X,,,,,,,,,,X,,,,X,,,X,X,,,,,X,,,,X,,X
766,X,,X,,,,,,,,,X,,,,X,X,,,,X,,,,X,,,,,X,
700,,X,,,,,,,,,,X,,,,X,,,X,X,,,,,X,,,,X,,X
330,X,X,,,,,,,,X,,,,X,,,X,,,X,,,,,,X,,,,X,
49,,X,,,,,,,,,X,,,X,,,,,X,,X,,,,X,,,,X,,X
159,,X,,,,,,,,,X,,,,,X,,,X,X,,,,,X,,,,X,,X
851,,X,,,,,,,,X,,,,,,X,,,X,,,X,,,,X,,,X,,X
43,,X,,,,,,,,,X,,,X,,,,,X,X,,,,,X,,,,X,,X
213,,X,,,,,,,,,X,,,,,X,,,X,X,,,,,X,,,,X,,X
93,,X,,,,,,,,,,X,,,,X,X,,,,X,,,,X,,,,X,,X
790,,,X,,,,,,,,,X,,X,,,X,,,X,,,,,X,,,,X,,X
55,,X,,,,,,,,,,,X,X,,,X,,,X,,,,,,X,,,X,,X
645,X,X,,,,,,,,X,,,,X,,,,,X,,X,,,,,X,,,,X,
480,X,X,,,,,,,,X,,,,,,X,,,X,X,,,,,,X,,,,X,
338,X,,,X,,,,,,,,X,,X,,,X,,,X,,,,,X,,,,,X,
526,,X,,,,,,,,,,X,,,X,,,,X,X,,,,,X,,,,X,,X
27,,X,,,,,,,,,X,,,X,,,,,X,X,,,,,X,,,,X,,X
527,X,X,,,,,,,,,,X,,,,X,,X,,X,,,,,X,,,,,X,
626,,X,,,,,,,,,,,X,,,X,X,,,X,,,,,X,,,,X,,X
50,,X,,,,,,,,X,,,,,,X,,,X,,X,,,,X,,,,,X,X
752,X,X,,,,,,,,X,,,,,,X,,,X,X,,,,,,X,,,X,,
287,X,X,,,,,,,,,X,,,,,X,,,X,X,,,,,X,,,,X,,
426,,X,,,,,,,,,X,,,,,X,,,X,X,,,,,X,,,,X,,X
24,X,X,,,,,,,,,X,,,,,X,X,,,X,,,,,X,,,,X,,
753,,X,,,,,,,,,X,,,,,X,,,X,X,,,,,X,,,,X,,X
207,,X,,,,,,,,,X,,,,,X,,,X,,X,,,,X,,,,X,,X
425,,X,,,,,,,,X,,,,,,X,,,X,,X,,,,,X,,,X,,X
576,,X,,,,,,,,X,,,,,,X,,,X,X,,,,,X,,,,X,,X
190,,X,,,,,,,,,X,,,,,X,,,X,X,,,,,X,,,,X,,X
407,,X,,,,,,,,,,X,,,,X,,,X,X,,,,,X,,,,X,,X
548,X,X,,,,,,,,,X,,,X,,,,X,,X,,,,,X,,,,X,,
709,X,,,X,,,,,,,X,,,,,X,X,,,X,,,,,X,,,,,X,
296,,X,,,,,,,,,X,,,X,,,X,,,X,,,,,X,,,,X,,X
284,X,X,,,,,,,,X,,,,,,X,,,X,X,,,,,X,,,,X,,
550,X,X,,,,,,,,X,,,,,,X,,X,,,X,,,,,X,,,X,,
702,X,X,,,,,,,,,X,,,,,X,X,,,X,,,,,X,,,,X,,
843,X,X,,,,,,,,,X,,,X,,,X,,,X,,,,,X,,,,,X,
770,,X,,,,,,,,,X,,,,,X,,,X,X,,,,,X,,,,X,,X
482,,X,,,,,,,,,X,,,,,X,,X,,X,,,,,X,,,,X,,X
